price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,total_rooms,area_per_room,amenity_count
6860000,6000,3,1,1,1,0,0,0,1,1,0,2,4,1500.0,2
6790000,4000,3,2,2,1,0,1,0,1,0,1,1,5,800.0,3
6755000,6000,4,2,4,1,0,0,0,1,0,0,0,6,1000.0,2
6720000,5020,3,1,4,1,0,0,0,1,0,1,0,4,1255.0,2
6685000,6600,2,2,4,1,0,1,0,0,0,1,2,4,1650.0,2
6650000,4040,3,1,2,1,0,1,1,0,1,0,2,4,1010.0,3
6650000,4260,4,2,2,1,0,0,1,0,0,0,1,6,710.0,2
6650000,6420,3,2,3,1,0,0,0,1,0,1,2,5,1284.0,2
6650000,6500,3,2,3,1,0,0,0,1,0,1,2,5,1300.0,2
6650000,5700,3,1,1,1,1,1,0,1,2,1,2,4,1425.0,4
6650000,6000,3,2,3,1,1,0,0,1,0,0,2,5,1200.0,3
6629000,6000,3,1,2,1,0,0,1,0,1,1,1,4,1500.0,2
6615000,4000,3,2,2,1,0,1,0,1,1,0,1,5,800.0,3
6615000,10500,3,2,1,1,0,1,0,1,1,1,2,5,2100.0,3
6580000,6000,3,2,4,1,0,0,0,1,0,0,1,5,1200.0,2
6510000,3760,3,1,2,1,0,0,1,0,2,0,1,4,940.0,2
6510000,8250,3,2,3,1,0,0,0,1,0,0,2,5,1650.0,2
6510000,6670,3,1,3,1,0,1,0,0,0,1,0,4,1667.5,2
6475000,3960,3,1,1,1,0,1,0,0,2,0,1,4,990.0,2
6475000,7410,3,1,1,1,1,1,0,1,2,1,0,4,1852.5,4
6440000,8580,5,3,2,1,0,0,0,0,2,0,2,8,1072.5,1
6440000,5000,3,1,2,1,0,0,0,1,0,0,1,4,1250.0,2
6419000,6750,2,1,1,1,1,1,0,0,2,1,2,3,2250.0,3
6405000,4800,3,2,4,1,1,0,0,1,0,0,2,5,960.0,3
6300000,7200,3,2,1,1,0,1,0,1,3,0,1,5,1440.0,3
6300000,6000,4,2,4,1,0,0,0,0,1,0,1,6,1000.0,1
6300000,4100,3,2,3,1,0,0,0,1,2,0,1,5,820.0,2
6300000,9000,3,1,1,1,0,1,0,0,1,1,2,4,2250.0,2
6300000,6400,3,1,1,1,1,1,0,1,1,1,1,4,1600.0,4
6293000,6600,3,2,3,1,0,0,0,1,0,1,0,5,1320.0,2
6265000,6000,4,1,3,1,1,1,0,0,0,1,0,5,1200.0,3
6230000,6600,3,2,1,1,0,1,0,1,0,1,0,5,1320.0,3
6230000,5500,3,1,3,1,0,0,0,0,1,1,0,4,1375.0,1
6195000,5500,3,2,4,1,1,0,0,1,1,0,1,5,1100.0,3
6195000,6350,3,2,3,1,1,0,0,1,0,0,2,5,1270.0,3
6195000,5500,3,2,1,1,1,1,0,0,2,1,2,5,1100.0,3
6160000,4500,3,1,4,1,0,0,0,1,0,0,0,4,1125.0,2
6160000,5450,4,2,1,1,0,1,0,1,0,1,1,6,908.3333333333334,3
6125000,6420,3,1,3,1,0,1,0,0,0,1,0,4,1605.0,2
6107500,3240,4,1,3,1,0,0,0,0,1,0,1,5,648.0,1
6090000,6615,4,2,2,1,1,0,1,0,1,0,1,6,1102.5,3
6090000,6600,3,1,1,1,1,1,0,0,2,1,1,4,1650.0,3
6090000,8372,3,1,3,1,0,0,0,1,2,0,0,4,2093.0,2
6083000,4300,6,2,2,1,0,0,0,0,0,0,2,8,537.5,1
6083000,9620,3,1,1,1,0,1,0,0,2,1,2,4,2405.0,2
6020000,6800,2,1,1,1,1,1,0,0,2,0,2,3,2266.6666666666665,3
6020000,8000,3,1,1,1,1,1,0,1,2,1,1,4,2000.0,4
6020000,6900,3,2,1,1,1,1,0,0,0,1,0,5,1380.0,3
5950000,3700,4,1,2,1,1,0,0,1,0,0,2,5,740.0,3
5950000,6420,3,1,1,1,0,1,0,1,0,1,2,4,1605.0,3
5950000,7020,3,1,1,1,0,1,0,1,2,1,1,4,1755.0,3
5950000,6540,3,1,1,1,1,1,0,0,2,1,2,4,1635.0,3
5950000,7231,3,1,2,1,1,1,0,1,0,1,1,4,1807.75,4
5950000,6254,4,2,1,1,0,1,0,0,1,1,1,6,1042.3333333333333,2
5950000,7320,4,2,2,1,0,0,0,0,0,0,2,6,1220.0,1
5950000,6525,3,2,4,1,0,0,0,0,1,0,2,5,1305.0,1
5880000,7160,3,1,1,1,0,1,0,0,2,1,0,4,1790.0,2
5880000,6500,3,2,3,1,0,0,0,1,0,0,0,5,1300.0,2
5873000,5500,3,1,3,1,1,0,0,1,1,0,2,4,1375.0,3
5866000,4800,3,1,1,1,1,1,0,0,0,0,0,4,1200.0,3
5810000,5828,4,1,4,1,1,0,0,0,0,0,1,5,1165.6,2
5810000,5200,3,1,3,1,0,0,0,1,0,0,1,4,1300.0,2
5810000,4800,3,1,3,1,0,0,0,1,0,0,0,4,1200.0,2
5803000,7000,3,1,1,1,0,1,0,0,2,1,1,4,1750.0,2
5775000,6000,3,2,4,1,0,0,0,1,0,0,0,5,1200.0,2
5740000,5400,4,2,2,1,0,0,0,1,2,0,0,6,900.0,2
5740000,4640,4,1,2,1,0,0,0,0,1,0,1,5,928.0,1
5740000,5000,3,1,3,1,0,0,0,1,0,0,1,4,1250.0,2
5740000,6360,3,1,1,1,1,1,0,1,2,1,2,4,1590.0,4
5740000,5800,3,2,4,1,0,0,0,1,0,0,0,5,1160.0,2
5652500,6660,4,2,2,1,1,1,0,0,1,1,1,6,1110.0,3
5600000,10500,4,2,2,1,0,0,0,0,1,0,1,6,1750.0,1
5600000,4800,5,2,3,0,0,1,1,0,0,0,0,7,685.7142857142857,2
5600000,4700,4,1,2,1,1,1,0,1,1,0,2,5,940.0,4
5600000,5000,3,1,4,1,0,0,0,0,0,0,2,4,1250.0,1
5600000,10500,2,1,1,1,0,0,0,0,1,0,1,3,3500.0,1
5600000,5500,3,2,2,1,0,0,0,0,1,0,1,5,1100.0,1
5600000,6360,3,1,3,1,0,0,0,0,0,1,1,4,1590.0,1
5600000,6600,4,2,1,1,0,1,0,0,0,1,1,6,1100.0,2
5600000,5136,3,1,2,1,1,1,0,1,0,1,0,4,1284.0,4
5565000,4400,4,1,2,1,0,0,0,1,2,1,1,5,880.0,2
5565000,5400,5,1,2,1,1,1,0,1,0,1,2,6,900.0,4
5530000,3300,3,3,2,1,0,1,0,0,0,0,1,6,550.0,2
5530000,3650,3,2,2,1,0,0,0,0,2,0,1,5,730.0,1
5530000,6100,3,2,1,1,0,1,0,0,2,1,2,5,1220.0,2
5523000,6900,3,1,1,1,1,1,0,0,0,1,1,4,1725.0,3
5495000,2817,4,2,2,0,1,1,0,0,1,0,2,6,469.5,2
5495000,7980,3,1,1,1,0,0,0,0,2,0,1,4,1995.0,1
5460000,3150,3,2,1,1,1,1,0,1,0,0,2,5,630.0,4
5460000,6210,4,1,4,1,1,0,0,1,0,0,2,5,1242.0,3
5460000,6100,3,1,3,1,1,0,0,1,0,1,1,4,1525.0,3
5460000,6600,4,2,2,1,1,1,0,0,0,1,1,6,1100.0,3
5425000,6825,3,1,1,1,1,1,0,1,0,1,1,4,1706.25,4
5390000,6710,3,2,2,1,1,1,0,0,1,1,2,5,1342.0,3
5383000,6450,3,2,1,1,1,1,1,0,0,0,0,5,1290.0,4
5320000,7800,3,1,1,1,0,1,0,1,2,1,0,4,1950.0,3
5285000,4600,2,2,1,1,0,0,0,1,2,0,1,4,1150.0,2
5250000,4260,4,1,2,1,0,1,0,1,0,0,2,5,852.0,3
5250000,6540,4,2,2,0,0,0,0,1,0,0,1,6,1090.0,1
5250000,5500,3,2,1,1,0,1,0,0,0,0,1,5,1100.0,2
5250000,10269,3,1,1,1,0,0,0,0,1,1,1,4,2567.25,1
5250000,8400,3,1,2,1,1,1,0,1,2,1,0,4,2100.0,4
5250000,5300,4,2,1,1,0,0,0,1,0,1,0,6,883.3333333333334,2
5250000,3800,3,1,2,1,1,1,0,0,1,1,0,4,950.0,3
5250000,9800,4,2,2,1,1,0,0,0,2,0,1,6,1633.3333333333333,2
5250000,8520,3,1,1,1,0,0,0,1,2,0,2,4,2130.0,2
5243000,6050,3,1,1,1,0,1,0,0,0,1,1,4,1512.5,2
5229000,7085,3,1,1,1,1,1,0,0,2,1,1,4,1771.25,3
5215000,3180,3,2,2,1,0,0,0,0,2,0,1,5,636.0,1
5215000,4500,4,2,1,0,0,1,0,1,2,0,1,6,750.0,2
5215000,7200,3,1,2,1,1,1,0,0,1,1,2,4,1800.0,3
5145000,3410,3,1,2,0,0,0,0,1,0,0,1,4,852.5,1
5145000,7980,3,1,1,1,0,0,0,0,1,1,1,4,1995.0,1
5110000,3000,3,2,2,1,1,1,0,0,0,0,2,5,600.0,3
5110000,3000,3,1,2,1,0,1,0,0,0,0,0,4,750.0,2
5110000,6100,3,1,1,1,0,1,0,1,0,1,1,4,1525.0,3
5075000,5720,2,1,2,1,0,0,0,1,0,1,0,3,1906.6666666666667,2
5040000,3540,2,1,1,0,1,1,0,0,0,0,1,3,1180.0,2
5040000,7600,4,1,2,1,0,0,0,1,2,0,2,5,1520.0,2
5040000,6600,3,1,1,1,1,1,0,0,0,1,2,4,1650.0,3
5033000,4800,2,1,1,1,1,1,0,0,0,0,1,3,1600.0,3
5005000,8150,3,2,1,1,1,1,0,0,0,0,1,5,1630.0,3
4970000,4410,4,3,2,1,0,1,0,0,2,0,1,7,630.0,2
4970000,7686,3,1,1,1,1,1,1,0,0,0,1,4,1921.5,4
4956000,2800,3,2,2,0,0,1,0,1,1,0,1,5,560.0,2
4935000,5948,3,1,2,1,0,0,0,1,0,0,1,4,1487.0,2
4907000,4200,3,1,2,1,0,0,0,0,1,0,2,4,1050.0,1
4900000,4520,3,1,2,1,0,1,0,1,0,0,1,4,1130.0,3
4900000,4095,3,1,2,0,1,1,0,1,0,0,1,4,1023.75,3
4900000,4120,2,1,1,1,0,1,0,0,1,0,1,3,1373.3333333333333,2
4900000,5400,4,1,2,1,0,0,0,0,0,0,1,5,1080.0,1
4900000,4770,3,1,1,1,1,1,0,0,0,0,1,4,1192.5,3
4900000,6300,3,1,1,1,0,0,0,1,2,0,1,4,1575.0,2
4900000,5800,2,1,1,1,1,1,0,1,0,0,1,3,1933.3333333333333,4
4900000,3000,3,1,2,1,0,1,0,1,0,0,1,4,750.0,3
4900000,2970,3,1,3,1,0,0,0,0,0,0,1,4,742.5,1
4900000,6720,3,1,1,1,0,0,0,0,0,0,0,4,1680.0,1
4900000,4646,3,1,2,1,1,1,0,0,2,0,1,4,1161.5,3
4893000,3420,4,2,2,1,0,1,0,1,2,0,1,6,570.0,3
4893000,4995,4,2,1,1,0,1,0,0,0,0,1,6,832.5,2
4865000,4350,2,1,1,1,0,1,0,0,0,0,0,3,1450.0,2
4830000,4160,3,1,3,1,0,0,0,0,0,0,0,4,1040.0,1
4830000,6040,3,1,1,1,0,0,0,0,2,1,1,4,1510.0,1
4830000,6862,3,1,2,1,0,0,0,1,2,1,2,4,1715.5,2
4830000,4815,2,1,1,1,0,0,0,1,0,1,1,3,1605.0,2
4795000,7000,3,1,2,1,0,1,0,0,0,0,0,4,1750.0,2
4795000,8100,4,1,4,1,0,1,0,1,2,0,1,5,1620.0,3
4767000,3420,4,2,2,1,0,0,0,0,0,0,1,6,570.0,1
4760000,9166,2,1,1,1,0,1,0,1,2,0,1,3,3055.3333333333335,3
4760000,6321,3,1,2,1,0,1,0,1,1,0,2,4,1580.25,3
4760000,10240,2,1,1,1,0,0,0,1,2,1,0,3,3413.3333333333335,2
4753000,6440,2,1,1,1,0,0,0,1,3,0,1,3,2146.6666666666665,2
4690000,5170,3,1,4,1,0,0,0,1,0,0,1,4,1292.5,2
4690000,6000,2,1,1,1,0,1,0,1,1,0,2,3,2000.0,3
4690000,3630,3,1,2,1,0,0,0,0,2,0,1,4,907.5,1
4690000,9667,4,2,2,1,1,1,0,0,1,0,1,6,1611.1666666666667,3
4690000,5400,2,1,2,1,0,0,0,0,0,1,1,3,1800.0,1
4690000,4320,3,1,1,1,0,0,0,0,0,1,1,4,1080.0,1
4655000,3745,3,1,2,1,0,1,0,0,0,0,2,4,936.25,2
4620000,4160,3,1,1,1,1,1,0,1,0,0,0,4,1040.0,4
4620000,3880,3,2,2,1,0,1,0,0,2,0,1,5,776.0,2
4620000,5680,3,1,2,1,1,0,0,1,1,0,1,4,1420.0,3
4620000,2870,2,1,2,1,1,1,0,0,0,1,1,3,956.6666666666666,3
4620000,5010,3,1,2,1,0,1,0,0,0,0,1,4,1252.5,2
4613000,4510,4,2,2,1,0,1,0,0,0,0,1,6,751.6666666666666,2
4585000,4000,3,1,2,1,0,0,0,0,1,0,2,4,1000.0,1
4585000,3840,3,1,2,1,0,0,0,0,1,1,1,4,960.0,1
4550000,3760,3,1,1,1,0,0,0,0,2,0,1,4,940.0,1
4550000,3640,3,1,2,1,0,0,0,1,0,0,2,4,910.0,2
4550000,2550,3,1,2,1,0,1,0,0,0,0,2,4,637.5,2
4550000,5320,3,1,2,1,1,1,0,0,0,1,1,4,1330.0,3
4550000,5360,3,1,2,1,0,0,0,0,2,1,0,4,1340.0,1
4550000,3520,3,1,1,1,0,0,0,0,0,1,1,4,880.0,1
4550000,8400,4,1,4,1,0,0,0,0,3,0,0,5,1680.0,1
4543000,4100,2,2,1,1,1,1,0,0,0,0,1,4,1025.0,3
4543000,4990,4,2,2,1,1,1,0,0,0,1,2,6,831.6666666666666,3
4515000,3510,3,1,3,1,0,0,0,0,0,0,1,4,877.5,1
4515000,3450,3,1,2,1,0,1,0,0,1,0,1,4,862.5,2
4515000,9860,3,1,1,1,0,0,0,0,0,0,1,4,2465.0,1
4515000,3520,2,1,2,1,0,0,0,0,0,1,2,3,1173.3333333333333,1
4480000,4510,4,1,2,1,0,0,0,1,2,0,1,5,902.0,2
4480000,5885,2,1,1,1,0,0,0,1,1,0,0,3,1961.6666666666667,2
4480000,4000,3,1,2,1,0,0,0,0,2,0,2,4,1000.0,1
4480000,8250,3,1,1,1,0,0,0,0,0,0,2,4,2062.5,1
4480000,4040,3,1,2,1,0,0,0,0,1,0,1,4,1010.0,1
4473000,6360,2,1,1,1,0,1,0,1,1,0,2,3,2120.0,3
4473000,3162,3,1,2,1,0,0,0,1,1,0,2,4,790.5,2
4473000,3510,3,1,2,1,0,0,0,0,0,0,1,4,877.5,1
4445000,3750,2,1,1,1,1,1,0,0,0,0,1,3,1250.0,3
4410000,3968,3,1,2,0,0,0,0,0,0,0,1,4,992.0,0
4410000,4900,2,1,2,1,0,1,0,0,0,0,1,3,1633.3333333333333,2
4403000,2880,3,1,2,1,0,0,0,0,0,1,1,4,720.0,1
4403000,4880,3,1,1,1,0,0,0,0,2,1,0,4,1220.0,1
4403000,4920,3,1,2,1,0,0,0,0,1,0,1,4,1230.0,1
4382000,4950,4,1,2,1,0,0,0,1,0,0,1,5,990.0,2
4375000,3900,3,1,2,1,0,0,0,0,0,0,0,4,975.0,1
4340000,4500,3,2,3,1,0,0,1,0,1,0,2,5,900.0,2
4340000,1905,5,1,2,0,0,1,0,0,0,0,1,6,317.5,1
4340000,4075,3,1,1,1,1,1,0,0,2,0,1,4,1018.75,3
4340000,3500,4,1,2,1,0,0,0,0,2,0,2,5,700.0,1
4340000,6450,4,1,2,1,0,0,0,0,0,0,1,5,1290.0,1
4319000,4032,2,1,1,1,0,1,0,0,0,0,2,3,1344.0,2
4305000,4400,2,1,1,1,0,0,0,0,1,0,1,3,1466.6666666666667,1
4305000,10360,2,1,1,1,0,0,0,0,1,1,1,3,3453.3333333333335,1
4277000,3400,3,1,2,1,0,1,0,0,2,1,1,4,850.0,2
4270000,6360,2,1,1,1,0,0,0,0,0,0,2,3,2120.0,1
4270000,6360,2,1,2,1,0,0,0,0,0,0,0,3,2120.0,1
4270000,4500,2,1,1,1,0,0,0,1,2,0,2,3,1500.0,2
4270000,2175,3,1,2,0,1,1,0,1,0,0,0,4,543.75,3
4270000,4360,4,1,2,1,0,0,0,0,0,0,2,5,872.0,1
4270000,7770,2,1,1,1,0,0,0,0,1,0,2,3,2590.0,1
4235000,6650,3,1,2,1,1,0,0,0,0,0,1,4,1662.5,2
4235000,2787,3,1,1,1,0,1,0,0,0,1,2,4,696.75,2
4200000,5500,3,1,2,1,0,0,0,1,0,0,0,4,1375.0,2
4200000,5040,3,1,2,1,0,1,0,1,0,0,0,4,1260.0,3
4200000,5850,2,1,1,1,1,1,0,0,2,0,1,3,1950.0,3
4200000,2610,4,3,2,0,0,0,0,0,0,0,1,7,372.85714285714283,0
4200000,2953,3,1,2,1,0,1,0,1,0,0,0,4,738.25,3
4200000,2747,4,2,2,0,0,0,0,0,0,0,1,6,457.8333333333333,0
4200000,4410,2,1,1,0,0,0,0,0,1,0,0,3,1470.0,0
4200000,4000,4,2,2,0,0,0,0,0,0,0,1,6,666.6666666666666,0
4200000,2325,3,1,2,0,0,0,0,0,0,0,1,4,581.25,0
4200000,4600,3,2,2,1,0,0,0,1,1,0,1,5,920.0,2
4200000,3640,3,2,2,1,0,1,0,0,0,0,0,5,728.0,2
4200000,5800,3,1,1,1,0,0,1,0,2,0,1,4,1450.0,2
4200000,7000,3,1,1,1,0,0,0,0,3,0,2,4,1750.0,1
4200000,4079,3,1,3,1,0,0,0,0,0,0,1,4,1019.75,1
4200000,3520,3,1,2,1,0,0,0,0,0,1,1,4,880.0,1
4200000,2145,3,1,3,1,0,0,0,0,1,1,0,4,536.25,1
4200000,4500,3,1,1,1,0,1,0,0,0,0,2,4,1125.0,2
4193000,8250,3,1,1,1,0,1,0,0,3,0,1,4,2062.5,2
4193000,3450,3,1,2,1,0,0,0,0,1,0,1,4,862.5,1
4165000,4840,3,1,2,1,0,0,0,0,1,0,1,4,1210.0,1
4165000,4080,3,1,2,1,0,0,0,0,2,0,1,4,1020.0,1
4165000,4046,3,1,2,1,0,1,0,0,1,0,1,4,1011.5,2
4130000,4632,4,1,2,1,0,0,0,1,0,0,1,5,926.4,2
4130000,5985,3,1,1,1,0,1,0,0,0,0,1,4,1496.25,2
4123000,6060,2,1,1,1,0,1,0,0,1,0,1,3,2020.0,2
4098500,3600,3,1,1,1,0,1,0,1,0,1,2,4,900.0,3
4095000,3680,3,2,2,1,0,0,0,0,0,0,1,5,736.0,1
4095000,4040,2,1,2,1,0,0,0,0,1,0,1,3,1346.6666666666667,1
4095000,5600,2,1,1,1,0,0,0,1,0,0,1,3,1866.6666666666667,2
4060000,5900,4,2,2,0,0,1,0,0,1,0,0,6,983.3333333333334,1
4060000,4992,3,2,2,1,0,0,0,0,2,0,0,5,998.4,1
4060000,4340,3,1,1,1,0,0,0,0,0,0,1,4,1085.0,1
4060000,3000,4,1,3,1,0,1,0,1,2,0,1,5,600.0,3
4060000,4320,3,1,2,1,0,0,0,0,2,1,2,4,1080.0,1
4025000,3630,3,2,2,1,0,0,1,0,2,0,1,5,726.0,2
4025000,3460,3,2,1,1,0,1,0,1,1,0,2,5,692.0,3
4025000,5400,3,1,1,1,0,0,0,0,3,0,1,4,1350.0,1
4007500,4500,3,1,2,0,0,1,0,1,0,0,1,4,1125.0,2
4007500,3460,4,1,2,1,0,0,0,1,0,0,1,5,692.0,2
3990000,4100,4,1,1,0,0,1,0,0,0,0,0,5,820.0,1
3990000,6480,3,1,2,0,0,0,0,1,1,0,1,4,1620.0,1
3990000,4500,3,2,2,0,0,1,0,1,0,0,1,5,900.0,2
3990000,3960,3,1,2,1,0,0,0,0,0,0,2,4,990.0,1
3990000,4050,2,1,2,1,1,1,0,0,0,1,0,3,1350.0,3
3920000,7260,3,2,1,1,1,1,0,0,3,0,2,5,1452.0,3
3920000,5500,4,1,2,1,1,1,0,0,0,0,1,5,1100.0,3
3920000,3000,3,1,2,1,0,0,0,0,0,0,1,4,750.0,1
3920000,3290,2,1,1,1,0,0,1,0,1,0,2,3,1096.6666666666667,2
3920000,3816,2,1,1,1,0,1,0,1,2,0,2,3,1272.0,3
3920000,8080,3,1,1,1,0,0,0,1,2,0,1,4,2020.0,2
3920000,2145,4,2,1,1,0,1,0,0,0,1,0,6,357.5,2
3885000,3780,2,1,2,1,1,1,0,0,0,0,1,3,1260.0,3
3885000,3180,4,2,2,1,0,0,0,0,0,0,2,6,530.0,1
3850000,5300,5,2,2,1,0,0,0,0,0,0,1,7,757.1428571428571,1
3850000,3180,2,2,1,1,0,1,0,0,2,0,1,4,795.0,2
3850000,7152,3,1,2,1,0,0,0,1,0,0,2,4,1788.0,2
3850000,4080,2,1,1,1,0,0,0,0,0,0,1,3,1360.0,1
3850000,3850,2,1,1,1,0,0,0,0,0,0,1,3,1283.3333333333333,1
3850000,2015,3,1,2,1,0,1,0,0,0,1,1,4,503.75,2
3850000,2176,2,1,2,1,1,0,0,0,0,1,1,3,725.3333333333334,2
3836000,3350,3,1,2,1,0,0,0,0,0,0,0,4,837.5,1
3815000,3150,2,2,1,0,0,1,0,0,0,0,1,4,787.5,1
3780000,4820,3,1,2,1,0,0,0,0,0,0,1,4,1205.0,1
3780000,3420,2,1,2,1,0,0,1,0,1,0,1,3,1140.0,2
3780000,3600,2,1,1,1,0,0,0,0,0,0,1,3,1200.0,1
3780000,5830,2,1,1,1,0,0,0,0,2,0,0,3,1943.3333333333333,1
3780000,2856,3,1,3,1,0,0,0,0,0,1,2,4,714.0,1
3780000,8400,2,1,1,1,0,0,0,0,1,0,2,3,2800.0,1
3773000,8250,3,1,1,1,0,0,0,0,2,0,2,4,2062.5,1
3773000,2520,5,2,1,0,0,1,0,1,1,0,2,7,360.0,2
3773000,6930,4,1,2,0,0,0,0,0,1,0,2,5,1386.0,0
3745000,3480,2,1,1,1,0,0,0,0,0,1,1,3,1160.0,1
3710000,3600,3,1,1,1,0,0,0,0,1,0,0,4,900.0,1
3710000,4040,2,1,1,1,0,0,0,0,0,0,1,3,1346.6666666666667,1
3710000,6020,3,1,1,1,0,0,0,0,0,0,1,4,1505.0,1
3710000,4050,2,1,1,1,0,0,0,0,0,0,2,3,1350.0,1
3710000,3584,2,1,1,1,0,0,1,0,0,0,1,3,1194.6666666666667,2
3703000,3120,3,1,2,0,0,1,1,0,0,0,1,4,780.0,2
3703000,5450,2,1,1,1,0,0,0,0,0,0,2,3,1816.6666666666667,1
3675000,3630,2,1,1,1,0,1,0,0,0,0,2,3,1210.0,2
3675000,3630,2,1,1,1,0,0,0,1,0,0,0,3,1210.0,2
3675000,5640,2,1,1,0,0,0,0,0,0,0,1,3,1880.0,0
3675000,3600,2,1,1,1,0,0,0,0,0,0,2,3,1200.0,1
3640000,4280,2,1,1,1,0,0,0,1,2,0,1,3,1426.6666666666667,2
3640000,3570,3,1,2,1,0,1,0,0,0,0,1,4,892.5,2
3640000,3180,3,1,2,0,0,1,0,0,0,0,1,4,795.0,1
3640000,3000,2,1,2,1,0,0,0,1,0,0,2,3,1000.0,2
3640000,3520,2,2,1,1,0,1,0,0,0,0,1,4,880.0,2
3640000,5960,3,1,2,1,1,1,0,0,0,0,0,4,1490.0,3
3640000,4130,3,2,2,1,0,0,0,0,2,0,1,5,826.0,1
3640000,2850,3,2,2,0,0,1,0,0,0,1,0,5,570.0,1
3640000,2275,3,1,3,1,0,0,1,1,0,1,1,4,568.75,3
3633000,3520,3,1,1,1,0,0,0,0,2,1,0,4,880.0,1
3605000,4500,2,1,1,1,0,0,0,0,0,0,1,3,1500.0,1
3605000,4000,2,1,1,1,0,0,0,0,0,1,1,3,1333.3333333333333,1
3570000,3150,3,1,2,1,0,1,0,0,0,0,2,4,787.5,2
